order_id,customer_id,city,states,region,segment,category,subcategory,product_id,product_name,sales,profit,returned
CA-2015-169397,JB-15925,Dublin,Ohio,East,Consumer,Office Supplies,Art,OFF-AR-10001958,Stanley Bostitch Contemporary Electric Pencil Sharpeners,27.168,2.7168,Yes
CA-2016-162138,GK-14620,Hesperia,California,West,Corporate,Office Supplies,Binders,OFF-BI-10004593,Ibico Laser Imprintable Binding System Covers,251.52,81.744,Yes
CA-2016-162138,GK-14620,Hesperia,California,West,Corporate,Technology,Accessories,TEC-AC-10001908,Logitech Wireless Headset h800,99.99,34.9965,Yes
CA-2016-134775,AS-10285,San Francisco,California,West,Corporate,Office Supplies,Paper,OFF-PA-10004734,Southworth Structures Collection,50.96,25.48,Yes
CA-2016-134775,AS-10285,San Francisco,California,West,Corporate,Office Supplies,Binders,OFF-BI-10002225,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",49.536,17.3376,Yes
CA-2016-148796,PB-19150,Los Angeles,California,West,Consumer,Furniture,Chairs,FUR-CH-10004886,Bevis Steel Folding Chairs,383.8,38.38,Yes
US-2014-150574,MK-18160,Jacksonville,Florida,South,Consumer,Office Supplies,Binders,OFF-BI-10000773,Insertable Tab Post Binder Dividers,4.812,-3.6892,Yes
US-2014-150574,MK-18160,Jacksonville,Florida,South,Consumer,Technology,Accessories,TEC-AC-10002600,Belkin QODE FastFit Bluetooth Keyboard,247.8,-18.585,Yes
CA-2016-147375,PO-19180,Chicago,Illinois,Central,Home Office,Technology,Machines,TEC-MA-10002937,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner",1007.979,43.1991,Yes
CA-2016-147375,PO-19180,Chicago,Illinois,Central,Home Office,Office Supplies,Paper,OFF-PA-10001970,Xerox 1908,313.488,113.6394,Yes
CA-2017-154214,TB-21595,Columbus,Indiana,Central,Consumer,Furniture,Furnishings,FUR-FU-10000206,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",2.91,1.3677,Yes
CA-2016-109869,TN-21040,Phoenix,Arizona,West,Home Office,Furniture,Furnishings,FUR-FU-10000023,Eldon Wave Desk Accessories,23.56,7.068,Yes
CA-2016-109869,TN-21040,Phoenix,Arizona,West,Home Office,Furniture,Tables,FUR-TA-10001889,Bush Advantage Collection Racetrack Conference Table,1272.63,-814.4832,Yes
CA-2016-109869,TN-21040,Phoenix,Arizona,West,Home Office,Office Supplies,Binders,OFF-BI-10000315,Poly Designer Cover & Back,28.485,-20.889,Yes
CA-2016-109869,TN-21040,Phoenix,Arizona,West,Home Office,Office Supplies,Supplies,OFF-SU-10003505,Premier Electric Letter Opener,185.376,-34.758,Yes
CA-2016-109869,TN-21040,Phoenix,Arizona,West,Home Office,Office Supplies,Appliances,OFF-AP-10002578,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",78.272,5.8704,Yes
CA-2017-140963,MT-18070,Los Angeles,California,West,Home Office,Office Supplies,Labels,OFF-LA-10003923,Alphabetical Labels for Top Tab Filing,29.6,14.8,Yes
CA-2017-140963,MT-18070,Los Angeles,California,West,Home Office,Furniture,Bookcases,FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,514.165,-30.245,Yes
CA-2017-140963,MT-18070,Los Angeles,California,West,Home Office,Technology,Phones,TEC-PH-10001924,iHome FM Clock Radio with Lightning Dock,279.96,17.4975,Yes
US-2016-105578,MY-17380,Parker,Colorado,West,Corporate,Office Supplies,Binders,OFF-BI-10001670,Vinyl Sectional Post Binders,22.62,-15.08,Yes
US-2016-105578,MY-17380,Parker,Colorado,West,Corporate,Office Supplies,Binders,OFF-BI-10001658,GBC Standard Therm-A-Bind Covers,14.952,-11.9616,Yes
US-2016-105578,MY-17380,Parker,Colorado,West,Corporate,Furniture,Chairs,FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,801.568,50.098,Yes
US-2016-105578,MY-17380,Parker,Colorado,West,Corporate,Office Supplies,Binders,OFF-BI-10000831,Storex Flexible Poly Binders with Double Pockets,2.376,-1.9008,Yes
US-2016-105578,MY-17380,Parker,Colorado,West,Corporate,Office Supplies,Paper,OFF-PA-10000357,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",32.792,11.8871,Yes
CA-2015-157812,DB-13210,Houston,Texas,Central,Consumer,Technology,Accessories,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",18.392,5.2877,Yes
CA-2015-157812,DB-13210,Houston,Texas,Central,Consumer,Office Supplies,Storage,OFF-ST-10000736,Carina Double Wide Media Storage Towers in Natural & Black,129.568,-25.9136,Yes
CA-2015-157812,DB-13210,Houston,Texas,Central,Consumer,Office Supplies,Binders,OFF-BI-10000285,XtraLife ClearVue Slant-D Ring Binders by Cardinal,14.112,-21.168,Yes
CA-2016-136924,ES-14080,Tucson,Arizona,West,Corporate,Technology,Phones,TEC-PH-10002262,LG Electronics Tone+ HBS-730 Bluetooth Headset,380.864,38.0864,Yes
CA-2017-137099,FP-14320,Los Angeles,California,West,Consumer,Technology,Phones,TEC-PH-10002496,Cisco SPA301,374.376,46.797,Yes
US-2016-156986,ZC-21910,Salem,Oregon,West,Consumer,Technology,Phones,TEC-PH-10003800,i.Sound Portable Power - 8000 mAh,84.784,-20.1362,Yes
US-2016-156986,ZC-21910,Salem,Oregon,West,Consumer,Office Supplies,Paper,OFF-PA-10002005,Xerox 225,20.736,7.2576,Yes
US-2016-156986,ZC-21910,Salem,Oregon,West,Consumer,Office Supplies,Binders,OFF-BI-10002498,Clear Mylar Reinforcing Strips,16.821,-12.8961,Yes
US-2016-156986,ZC-21910,Salem,Oregon,West,Consumer,Office Supplies,Paper,OFF-PA-10004101,Xerox 1894,10.368,3.6288,Yes
US-2016-135720,FM-14380,Aurora,Colorado,West,Consumer,Office Supplies,Storage,OFF-ST-10001963,Tennsco Regal Shelving Units,243.384,-51.7191,Yes
US-2016-135720,FM-14380,Aurora,Colorado,West,Consumer,Technology,Accessories,TEC-AC-10001267,Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...,119.8,29.95,Yes
US-2016-135720,FM-14380,Aurora,Colorado,West,Consumer,Technology,Phones,TEC-PH-10002103,Jabra SPEAK 410,300.768,30.0768,Yes
CA-2016-115917,RB-19465,Vallejo,California,West,Home Office,Furniture,Furnishings,FUR-FU-10000576,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,1049.2,272.792,Yes
CA-2016-115917,RB-19465,Vallejo,California,West,Home Office,Office Supplies,Binders,OFF-BI-10004728,Wilson Jones Turn Tabs Binder Tool for Ring Binders,15.424,5.0128,Yes
CA-2014-153150,Dl-13600,Seattle,Washington,West,Corporate,Office Supplies,Binders,OFF-BI-10003355,Cardinal Holdit Business Card Pockets,19.92,6.972,Yes
CA-2015-144267,NZ-18565,San Francisco,California,West,Home Office,Furniture,Chairs,FUR-CH-10002335,Hon GuestStacker Chair,544.008,40.8006,Yes
CA-2015-144267,NZ-18565,San Francisco,California,West,Home Office,Office Supplies,Paper,OFF-PA-10000157,Xerox 191,59.94,28.1718,Yes
CA-2015-144267,NZ-18565,San Francisco,California,West,Home Office,Office Supplies,Paper,OFF-PA-10001947,Xerox 1974,23.92,11.7208,Yes
CA-2015-144267,NZ-18565,San Francisco,California,West,Home Office,Office Supplies,Paper,OFF-PA-10003657,Xerox 1927,4.28,1.926,Yes
CA-2015-101910,CD-11920,Lake Elsinore,California,West,Consumer,Furniture,Chairs,FUR-CH-10002647,"Situations Contoured Folding Chairs, 4/Set",283.92,17.745,Yes
CA-2016-116736,CC-12430,Concord,New Hampshire,East,Home Office,Furniture,Furnishings,FUR-FU-10004017,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",322.59,64.518,Yes
CA-2016-116736,CC-12430,Concord,New Hampshire,East,Home Office,Technology,Accessories,TEC-AC-10003628,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,29.99,13.1956,Yes
CA-2016-116736,CC-12430,Concord,New Hampshire,East,Home Office,Technology,Accessories,TEC-AC-10002049,Logitech G19 Programmable Gaming Keyboard,371.97,66.9546,Yes
CA-2015-143602,JS-15595,Los Angeles,California,West,Corporate,Office Supplies,Binders,OFF-BI-10002071,Fellowes Black Plastic Comb Bindings,13.944,4.5318,Yes
CA-2016-130477,LC-17140,Los Angeles,California,West,Consumer,Office Supplies,Paper,OFF-PA-10002947,Xerox 1923,20.04,9.6192,Yes
CA-2016-130477,LC-17140,Los Angeles,California,West,Consumer,Office Supplies,Storage,OFF-ST-10002583,Fellowes Neat Ideas Storage Cubes,64.96,2.5984,Yes
CA-2016-130477,LC-17140,Los Angeles,California,West,Consumer,Office Supplies,Paper,OFF-PA-10000019,Xerox 1931,12.96,6.2208,Yes
CA-2017-102519,BM-11650,Milwaukee,Wisconsin,Central,Corporate,Furniture,Furnishings,FUR-FU-10004091,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",46.94,19.2454,Yes
CA-2017-102519,BM-11650,Milwaukee,Wisconsin,Central,Corporate,Technology,Accessories,TEC-AC-10001772,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,143.73,56.0547,Yes
CA-2017-136539,GH-14665,Round Rock,Texas,Central,Consumer,Office Supplies,Art,OFF-AR-10001958,Stanley Bostitch Contemporary Electric Pencil Sharpeners,27.168,2.7168,Yes
CA-2017-136539,GH-14665,Round Rock,Texas,Central,Consumer,Furniture,Bookcases,FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",78.8528,-11.596,Yes
US-2017-103247,PO-19195,New York City,New York,East,Home Office,Technology,Phones,TEC-PH-10003555,Motorola HK250 Universal Bluetooth Headset,160.93,3.2186,Yes
US-2017-103247,PO-19195,New York City,New York,East,Home Office,Office Supplies,Binders,OFF-BI-10004492,Tuf-Vin Binders,75.792,25.5798,Yes
CA-2016-105585,RF-19735,San Jose,California,West,Consumer,Office Supplies,Fasteners,OFF-FA-10002983,Advantus SlideClip Paper Clips,10.23,4.9104,Yes
CA-2016-105585,RF-19735,San Jose,California,West,Consumer,Office Supplies,Paper,OFF-PA-10003625,Xerox 1979,154.9,69.705,Yes
US-2015-126214,JS-15880,Seattle,Washington,West,Consumer,Furniture,Tables,FUR-TA-10003748,Bevis 36 x 72 Conference Tables,1618.37,356.0414,Yes
US-2015-126214,JS-15880,Seattle,Washington,West,Consumer,Technology,Accessories,TEC-AC-10003198,Enermax Acrylux Wireless Keyboard,99.6,36.852,Yes
CA-2016-126529,DE-13255,Springfield,Ohio,East,Home Office,Office Supplies,Paper,OFF-PA-10001166,Xerox 2,15.552,5.4432,Yes
CA-2016-126529,DE-13255,Springfield,Ohio,East,Home Office,Office Supplies,Paper,OFF-PA-10003656,Xerox 1935,63.312,20.5764,Yes
CA-2016-126529,DE-13255,Springfield,Ohio,East,Home Office,Technology,Phones,TEC-PH-10000148,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,15.588,-9.8724,Yes
CA-2016-152814,EH-14005,Denver,Colorado,West,Home Office,Office Supplies,Paper,OFF-PA-10001970,Xerox 1881,29.472,9.9468,Yes
CA-2015-143490,NP-18325,San Diego,California,West,Consumer,Office Supplies,Art,OFF-AR-10002952,Stanley Contemporary Battery Pencil Sharpeners,120.15,33.642,Yes
CA-2015-143490,NP-18325,San Diego,California,West,Consumer,Technology,Phones,TEC-PH-10000576,AT&T 1080 Corded phone,219.184,19.1786,Yes
CA-2014-159338,NS-18640,Los Angeles,California,West,Corporate,Furniture,Tables,FUR-TA-10004147,Hon 4060 Series Tables,447.84,11.196,Yes
CA-2016-112340,NM-18520,Riverside,California,West,Consumer,Office Supplies,Paper,OFF-PA-10001892,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",22.92,11.2308,Yes
CA-2017-140585,RA-19915,Encinitas,California,West,Consumer,Office Supplies,Binders,OFF-BI-10003364,Binding Machine Supplies,46.672,16.3352,Yes
CA-2017-140585,RA-19915,Encinitas,California,West,Consumer,Furniture,Bookcases,FUR-BO-10002206,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",119.833,-12.6882,Yes
CA-2017-140585,RA-19915,Encinitas,California,West,Consumer,Technology,Accessories,TEC-AC-10003610,Logitech Illuminated - Keyboard,119.98,57.5904,Yes
CA-2014-126522,LT-16765,Escondido,California,West,Consumer,Office Supplies,Art,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",53.94,15.6426,Yes
CA-2014-127131,HR-14830,Seattle,Washington,West,Corporate,Office Supplies,Binders,OFF-BI-10004656,Peel & Stick Add-On Corner Pockets,12.096,4.2336,Yes
CA-2014-127131,HR-14830,Seattle,Washington,West,Corporate,Office Supplies,Storage,OFF-ST-10002344,"Carina 42""Hx23 3/4""W Media Storage Unit",485.88,9.7176,Yes
CA-2014-127131,HR-14830,Seattle,Washington,West,Corporate,Office Supplies,Paper,OFF-PA-10001800,Xerox 220,25.92,12.4416,Yes
CA-2014-127131,HR-14830,Seattle,Washington,West,Corporate,Office Supplies,Storage,OFF-ST-10000036,"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16",197.58,53.3466,Yes
CA-2017-117212,BT-11530,Los Angeles,California,West,Home Office,Office Supplies,Appliances,OFF-AP-10004532,Kensington 6 Outlet Guardian Standard Surge Protector,81.92,22.1184,Yes
CA-2017-117212,BT-11530,Los Angeles,California,West,Home Office,Technology,Phones,TEC-PH-10004447,Toshiba IPT2010-SD IP Telephone,889.536,66.7152,Yes
CA-2017-117212,BT-11530,Los Angeles,California,West,Home Office,Furniture,Chairs,FUR-CH-10003973,GuestStacker Chair with Chrome Finish Legs,892.224,89.2224,Yes
CA-2017-117212,BT-11530,Los Angeles,California,West,Home Office,Office Supplies,Paper,OFF-PA-10001970,Xerox 1908,223.92,109.7208,Yes
CA-2017-117212,BT-11530,Los Angeles,California,West,Home Office,Office Supplies,Paper,OFF-PA-10000682,Xerox 1924,23.12,11.3288,Yes
CA-2016-114727,LS-16945,Denver,Colorado,West,Corporate,Furniture,Chairs,FUR-CH-10002335,Hon GuestStacker Chair,544.008,40.8006,Yes
CA-2016-114727,LS-16945,Denver,Colorado,West,Corporate,Office Supplies,Binders,OFF-BI-10004967,Round Ring Binders,1.872,-1.4352,Yes
CA-2016-114727,LS-16945,Denver,Colorado,West,Corporate,Furniture,Chairs,FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,854.352,10.6794,Yes
CA-2016-114727,LS-16945,Denver,Colorado,West,Corporate,Office Supplies,Storage,OFF-ST-10002292,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",593.568,0,Yes
CA-2016-114727,LS-16945,Denver,Colorado,West,Corporate,Office Supplies,Storage,OFF-ST-10000689,"Fellowes Strictly Business Drawer File, Letter/Legal Size",338.04,-33.804,Yes
US-2017-118087,SP-20620,Philadelphia,Pennsylvania,East,Corporate,Furniture,Chairs,FUR-CH-10004860,Global Low Back Tilter Chair,141.372,-48.4704,Yes
US-2017-118087,SP-20620,Philadelphia,Pennsylvania,East,Corporate,Office Supplies,Binders,OFF-BI-10002432,Wilson Jones Standard D-Ring Binders,3.036,-2.3276,Yes
US-2017-118087,SP-20620,Philadelphia,Pennsylvania,East,Corporate,Office Supplies,Binders,OFF-BI-10000069,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",4.503,-3.6024,Yes
US-2017-118087,SP-20620,Philadelphia,Pennsylvania,East,Corporate,Office Supplies,Art,OFF-AR-10003602,"Quartet Omega Colored Chalk, 12/Pack",4.672,1.5768,Yes
US-2017-118087,SP-20620,Philadelphia,Pennsylvania,East,Corporate,Technology,Accessories,TEC-AC-10004469,Microsoft Sculpt Comfort Mouse,95.88,28.764,Yes
US-2017-118087,SP-20620,Philadelphia,Pennsylvania,East,Corporate,Furniture,Furnishings,FUR-FU-10001867,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",17.024,1.7024,Yes
US-2017-118087,SP-20620,Philadelphia,Pennsylvania,East,Corporate,Technology,Accessories,TEC-AC-10003174,Plantronics S12 Corded Telephone Headset System,258.696,64.674,Yes
US-2017-118087,SP-20620,Philadelphia,Pennsylvania,East,Corporate,Technology,Phones,TEC-PH-10002200,Samsung Galaxy Note 2,1931.958,-386.3916,Yes
CA-2014-127012,GM-14680,Seattle,Washington,West,Consumer,Furniture,Furnishings,FUR-FU-10003691,"Eldon Image Series Desk Accessories, Ebony",12.35,5.434,Yes
CA-2014-127012,GM-14680,Seattle,Washington,West,Consumer,Office Supplies,Art,OFF-AR-10003903,Sanford 52201 APSCO Electric Pencil Sharpener,40.97,10.6522,Yes
CA-2014-127012,GM-14680,Seattle,Washington,West,Consumer,Office Supplies,Fasteners,OFF-FA-10004854,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",22.96,10.7912,Yes
CA-2017-115427,EB-13975,Fairfield,California,West,Corporate,Office Supplies,Binders,OFF-BI-10002103,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",13.904,4.5188,Yes
CA-2017-115427,EB-13975,Fairfield,California,West,Corporate,Office Supplies,Binders,OFF-BI-10004632,GBC Binding covers,20.72,6.475,Yes
CA-2016-145919,HG-14965,Los Angeles,California,West,Corporate,Office Supplies,Paper,OFF-PA-10003072,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",38.88,18.6624,Yes
CA-2016-145919,HG-14965,Los Angeles,California,West,Corporate,Furniture,Furnishings,FUR-FU-10004960,"Seth Thomas 12"" Clock w/ Goldtone Case",183.84,62.5056,Yes
CA-2016-145919,HG-14965,Los Angeles,California,West,Corporate,Office Supplies,Supplies,OFF-SU-10003505,Premier Electric Letter Opener,579.3,28.965,Yes
CA-2014-160773,LW-16825,Deltona,Florida,South,Corporate,Technology,Phones,TEC-PH-10004586,Wilson SignalBoost 841262 DB PRO Amplifier Kit,575.92,71.99,Yes
CA-2014-160773,LW-16825,Deltona,Florida,South,Corporate,Office Supplies,Binders,OFF-BI-10000546,Avery Durable Binders,5.184,-3.6288,Yes
CA-2014-126361,VD-21670,Pleasant Grove,Utah,West,Consumer,Office Supplies,Appliances,OFF-AP-10003590,Hoover WindTunnel Plus Canister Vacuum,1089.75,305.13,Yes
CA-2014-126361,VD-21670,Pleasant Grove,Utah,West,Consumer,Office Supplies,Paper,OFF-PA-10000806,Xerox 1934,447.84,219.4416,Yes
CA-2014-126361,VD-21670,Pleasant Grove,Utah,West,Consumer,Office Supplies,Art,OFF-AR-10000896,Newell 329,16.4,4.264,Yes
CA-2014-126361,VD-21670,Pleasant Grove,Utah,West,Consumer,Technology,Phones,TEC-PH-10002310,Panasonic KX T7731-B Digital phone,399.96,34.9965,Yes
CA-2014-126361,VD-21670,Pleasant Grove,Utah,West,Consumer,Office Supplies,Storage,OFF-ST-10002289,"Safco Wire Cube Shelving System, For Use as 4 or 5 14"" Cubes, Black",158.9,7.945,Yes
CA-2014-126361,VD-21670,Pleasant Grove,Utah,West,Consumer,Office Supplies,Binders,OFF-BI-10002852,Ibico Standard Transparent Covers,13.184,4.7792,Yes
CA-2016-159212,KM-16375,Salem,Virginia,South,Home Office,Technology,Phones,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,6.104,Yes
CA-2016-159212,KM-16375,Salem,Virginia,South,Home Office,Office Supplies,Envelopes,OFF-EN-10002230,Airmail Envelopes,251.79,118.3413,Yes
CA-2017-115994,BT-11305,Costa Mesa,California,West,Home Office,Technology,Accessories,TEC-AC-10000580,Logitech G13 Programmable Gameboard with LCD Display,239.97,26.3967,Yes
CA-2017-115994,BT-11305,Costa Mesa,California,West,Home Office,Furniture,Furnishings,FUR-FU-10003976,"DAX Executive Solid Wood Document Frame, Desktop or Hang, Mahogany, 5 x 7",37.74,12.8316,Yes
CA-2015-139731,JE-15745,Amarillo,Texas,Central,Consumer,Technology,Accessories,TEC-AC-10004975,Plantronics Audio 995 Wireless Stereo Headset,263.88,42.8805,Yes
CA-2015-139731,JE-15745,Amarillo,Texas,Central,Consumer,Furniture,Chairs,FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,2453.43,-350.49,Yes
CA-2015-119907,LC-17140,Seattle,Washington,West,Consumer,Office Supplies,Binders,OFF-BI-10001765,Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,55.424,19.3984,Yes
US-2016-108455,MK-18160,San Francisco,California,West,Consumer,Office Supplies,Paper,OFF-PA-10002262,Xerox 192,25.92,12.4416,Yes
US-2016-108455,MK-18160,San Francisco,California,West,Consumer,Office Supplies,Paper,OFF-PA-10002464,HP Office Recycled Paper (20Lb. and 87 Bright),40.46,19.8254,Yes
US-2016-108455,MK-18160,San Francisco,California,West,Consumer,Office Supplies,Storage,OFF-ST-10002214,X-Rack File for Hanging Folders,33.87,8.8062,Yes
CA-2017-108294,LS-16975,Omaha,Nebraska,Central,Home Office,Office Supplies,Binders,OFF-BI-10004965,Ibico Covers for Plastic or Wire Binding Elements,34.5,15.525,Yes
CA-2016-159345,IG-15085,San Diego,California,West,Consumer,Office Supplies,Paper,OFF-PA-10000806,Xerox 1934,111.96,54.8604,Yes
CA-2014-156349,ML-17395,Los Angeles,California,West,Corporate,Furniture,Bookcases,FUR-BO-10000362,Sauder Inglewood Library Bookcases,290.666,27.3568,Yes
CA-2014-156349,ML-17395,Los Angeles,California,West,Corporate,Technology,Phones,TEC-PH-10000441,VTech DS6151,201.584,20.1584,Yes
CA-2014-156349,ML-17395,Los Angeles,California,West,Corporate,Technology,Phones,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,83.984,31.494,Yes
CA-2014-135699,HH-15010,San Francisco,California,West,Corporate,Office Supplies,Paper,OFF-PA-10004475,Xerox 1940,109.92,53.8608,Yes
CA-2014-135699,HH-15010,San Francisco,California,West,Corporate,Office Supplies,Paper,OFF-PA-10003001,Xerox 1986,13.36,6.4128,Yes
CA-2014-135657,SC-20725,Seattle,Washington,West,Consumer,Furniture,Tables,FUR-TA-10004086,KI Adjustable-Height Table,515.88,113.4936,Yes
