Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode
75,US-2015-134026,2015-04-26,2015-05-02,Standard Class
76,US-2017-118038,2017-12-09,2017-12-11,First Class
77,US-2017-118038,2017-12-09,2017-12-11,First Class
78,US-2017-118038,2017-12-09,2017-12-11,First Class
79,US-2014-147606,2014-11-26,2014-12-01,Second Class
80,CA-2016-127208,2016-06-12,2016-06-15,First Class
81,CA-2016-127208,2016-06-12,2016-06-15,First Class
82,CA-2014-139451,2014-10-12,2014-10-16,Standard Class
83,CA-2014-139451,2014-10-12,2014-10-16,Standard Class
84,CA-2015-149734,2015-09-03,2015-09-08,Standard Class
85,US-2017-119662,2017-11-13,2017-11-16,First Class
86,CA-2017-140088,2017-05-28,2017-05-30,Second Class
87,CA-2017-155558,2017-10-26,2017-11-02,Standard Class
88,CA-2017-155558,2017-10-26,2017-11-02,Standard Class
89,CA-2016-159695,2016-04-05,2016-04-10,Second Class
90,CA-2016-109806,2016-09-17,2016-09-22,Standard Class
91,CA-2016-109806,2016-09-17,2016-09-22,Standard Class
92,CA-2016-109806,2016-09-17,2016-09-22,Standard Class
93,CA-2015-149587,2015-01-31,2015-02-05,Second Class
94,CA-2015-149587,2015-01-31,2015-02-05,Second Class
95,CA-2015-149587,2015-01-31,2015-02-05,Second Class
96,US-2017-109484,2017-11-06,2017-11-12,Standard Class
97,CA-2017-161018,2017-11-09,2017-11-11,Second Class
98,CA-2017-157833,2017-06-17,2017-06-20,First Class
99,CA-2016-149223,2016-09-06,2016-09-11,Standard Class
100,CA-2016-158568,2016-08-29,2016-09-02,Standard Class
101,CA-2016-158568,2016-08-29,2016-09-02,Standard Class
102,CA-2016-158568,2016-08-29,2016-09-02,Standard Class
103,CA-2016-129903,2016-12-01,2016-12-04,Second Class
104,US-2015-156867,2015-11-13,2015-11-17,Standard Class
105,US-2015-156867,2015-11-13,2015-11-17,Standard Class
106,US-2015-156867,2015-11-13,2015-11-17,Standard Class
107,CA-2017-119004,2017-11-23,2017-11-28,Standard Class
108,CA-2017-119004,2017-11-23,2017-11-28,Standard Class
109,CA-2017-119004,2017-11-23,2017-11-28,Standard Class
110,CA-2015-129476,2015-10-15,2015-10-20,Standard Class
111,CA-2017-146780,2017-12-25,2017-12-30,Standard Class
112,CA-2016-128867,2016-11-03,2016-11-10,Standard Class
113,CA-2016-128867,2016-11-03,2016-11-10,Standard Class
114,CA-2014-115259,2014-08-25,2014-08-27,Second Class
115,CA-2014-115259,2014-08-25,2014-08-27,Second Class
116,CA-2014-115259,2014-08-25,2014-08-27,Second Class
117,CA-2014-115259,2014-08-25,2014-08-27,Second Class
118,CA-2015-110457,2015-03-02,2015-03-06,Standard Class
119,US-2015-136476,2015-04-05,2015-04-10,Standard Class
120,CA-2016-103730,2016-06-12,2016-06-15,First Class
121,CA-2016-103730,2016-06-12,2016-06-15,First Class
122,CA-2016-103730,2016-06-12,2016-06-15,First Class
123,CA-2016-103730,2016-06-12,2016-06-15,First Class
124,CA-2016-103730,2016-06-12,2016-06-15,First Class
125,US-2014-152030,2014-12-26,2014-12-28,Second Class
126,US-2014-134614,2014-09-20,2014-09-25,Standard Class
127,US-2017-107272,2017-11-05,2017-11-12,Standard Class
128,US-2017-107272,2017-11-05,2017-11-12,Standard Class
129,US-2016-125969,2016-11-06,2016-11-10,Second Class
130,US-2016-125969,2016-11-06,2016-11-10,Second Class
131,US-2017-164147,2017-02-02,2017-02-05,First Class
132,US-2017-164147,2017-02-02,2017-02-05,First Class
133,US-2017-164147,2017-02-02,2017-02-05,First Class
134,CA-2016-145583,2016-10-13,2016-10-19,Standard Class
135,CA-2016-145583,2016-10-13,2016-10-19,Standard Class
136,CA-2016-145583,2016-10-13,2016-10-19,Standard Class
137,CA-2016-145583,2016-10-13,2016-10-19,Standard Class
138,CA-2016-145583,2016-10-13,2016-10-19,Standard Class
139,CA-2016-145583,2016-10-13,2016-10-19,Standard Class
140,CA-2016-145583,2016-10-13,2016-10-19,Standard Class
141,CA-2016-110366,2016-09-05,2016-09-07,Second Class
142,CA-2017-106180,2017-09-18,2017-09-23,Standard Class
143,CA-2017-106180,2017-09-18,2017-09-23,Standard Class
144,CA-2017-106180,2017-09-18,2017-09-23,Standard Class
145,CA-2017-155376,2017-12-22,2017-12-27,Standard Class
146,CA-2015-110744,2015-09-07,2015-09-12,Standard Class
147,CA-2014-110072,2014-10-22,2014-10-28,Standard Class
148,CA-2016-114489,2016-12-05,2016-12-09,Standard Class
149,CA-2016-114489,2016-12-05,2016-12-09,Standard Class
150,CA-2016-114489,2016-12-05,2016-12-09,Standard Class
151,CA-2016-114489,2016-12-05,2016-12-09,Standard Class
152,CA-2016-158834,2016-03-13,2016-03-16,First Class
153,CA-2016-158834,2016-03-13,2016-03-16,First Class
154,CA-2015-124919,2015-05-31,2015-06-02,First Class
155,CA-2015-124919,2015-05-31,2015-06-02,First Class
156,CA-2015-124919,2015-05-31,2015-06-02,First Class
157,CA-2015-118948,2015-05-28,2015-06-03,Standard Class
158,CA-2014-104269,2014-03-01,2014-03-06,Second Class
159,CA-2016-114104,2016-11-20,2016-11-24,Standard Class
160,CA-2016-114104,2016-11-20,2016-11-24,Standard Class
161,CA-2016-162733,2016-05-11,2016-05-12,First Class
162,CA-2015-119697,2015-12-28,2015-12-31,Second Class
163,CA-2016-154508,2016-11-16,2016-11-20,Standard Class
164,CA-2016-113817,2016-11-07,2016-11-11,Standard Class
165,CA-2014-139892,2014-09-08,2014-09-12,Standard Class
166,CA-2014-139892,2014-09-08,2014-09-12,Standard Class
167,CA-2014-139892,2014-09-08,2014-09-12,Standard Class
168,CA-2014-139892,2014-09-08,2014-09-12,Standard Class
169,CA-2014-139892,2014-09-08,2014-09-12,Standard Class
170,CA-2014-139892,2014-09-08,2014-09-12,Standard Class
171,CA-2014-139892,2014-09-08,2014-09-12,Standard Class
172,CA-2014-118962,2014-08-05,2014-08-09,Standard Class
173,CA-2014-118962,2014-08-05,2014-08-09,Standard Class
174,CA-2014-118962,2014-08-05,2014-08-09,Standard Class
175,US-2014-100853,2014-09-14,2014-09-19,Standard Class
176,US-2014-100853,2014-09-14,2014-09-19,Standard Class
177,US-2017-152366,2017-04-21,2017-04-25,Second Class
178,US-2015-101511,2015-11-21,2015-11-23,Second Class
179,US-2015-101511,2015-11-21,2015-11-23,Second Class
180,CA-2015-137225,2015-12-15,2015-12-19,Standard Class
181,CA-2014-166191,2014-12-05,2014-12-09,Second Class
182,CA-2014-166191,2014-12-05,2014-12-09,Second Class
183,CA-2014-158274,2014-11-19,2014-11-24,Second Class
184,CA-2014-158274,2014-11-19,2014-11-24,Second Class
185,CA-2014-158274,2014-11-19,2014-11-24,Second Class
186,CA-2016-105018,2016-11-28,2016-12-02,Standard Class
187,CA-2014-123260,2014-08-26,2014-08-30,Standard Class
188,CA-2016-157000,2016-07-16,2016-07-22,Standard Class
189,CA-2016-157000,2016-07-16,2016-07-22,Standard Class
190,CA-2015-102281,2015-10-12,2015-10-14,First Class
191,CA-2015-102281,2015-10-12,2015-10-14,First Class
192,CA-2015-102281,2015-10-12,2015-10-14,First Class
193,CA-2015-102281,2015-10-12,2015-10-14,First Class
194,CA-2015-102281,2015-10-12,2015-10-14,First Class
195,CA-2015-131457,2015-10-31,2015-11-06,Standard Class
196,CA-2014-140004,2014-03-21,2014-03-25,Standard Class
197,CA-2014-140004,2014-03-21,2014-03-25,Standard Class
198,CA-2017-107720,2017-11-06,2017-11-13,Standard Class
199,US-2017-124303,2017-07-06,2017-07-13,Standard Class
200,US-2017-124303,2017-07-06,2017-07-13,Standard Class
201,CA-2017-105074,2017-06-24,2017-06-29,Standard Class
202,CA-2014-133690,2014-08-03,2014-08-05,First Class
203,CA-2014-133690,2014-08-03,2014-08-05,First Class
204,US-2017-116701,2017-12-17,2017-12-21,Second Class
205,CA-2017-126382,2017-06-03,2017-06-07,Standard Class
206,CA-2017-108329,2017-12-09,2017-12-14,Standard Class
207,CA-2017-135860,2017-12-01,2017-12-07,Standard Class
208,CA-2017-135860,2017-12-01,2017-12-07,Standard Class
209,CA-2017-135860,2017-12-01,2017-12-07,Standard Class
210,CA-2017-135860,2017-12-01,2017-12-07,Standard Class
211,CA-2017-135860,2017-12-01,2017-12-07,Standard Class
212,CA-2015-101007,2015-02-09,2015-02-13,Second Class
213,CA-2015-146262,2015-01-02,2015-01-09,Standard Class
214,CA-2015-146262,2015-01-02,2015-01-09,Standard Class
215,CA-2015-146262,2015-01-02,2015-01-09,Standard Class
216,CA-2015-146262,2015-01-02,2015-01-09,Standard Class
217,CA-2015-146262,2015-01-02,2015-01-09,Standard Class
218,CA-2016-130162,2016-10-28,2016-11-01,Standard Class
219,CA-2016-130162,2016-10-28,2016-11-01,Standard Class
220,CA-2015-169397,2015-12-24,2015-12-27,First Class
221,CA-2015-169397,2015-12-24,2015-12-27,First Class
222,CA-2015-169397,2015-12-24,2015-12-27,First Class
223,CA-2015-169397,2015-12-24,2015-12-27,First Class
224,CA-2015-169397,2015-12-24,2015-12-27,First Class
225,CA-2015-169397,2015-12-24,2015-12-27,First Class
226,CA-2015-163055,2015-08-09,2015-08-16,Standard Class
227,CA-2015-163055,2015-08-09,2015-08-16,Standard Class
228,CA-2015-163055,2015-08-09,2015-08-16,Standard Class
229,US-2015-145436,2015-02-28,2015-03-04,Standard Class
230,US-2015-145436,2015-02-28,2015-03-04,Standard Class
231,US-2014-156216,2014-09-13,2014-09-17,Standard Class
232,US-2017-100930,2017-04-07,2017-04-12,Standard Class
233,US-2017-100930,2017-04-07,2017-04-12,Standard Class
234,US-2017-100930,2017-04-07,2017-04-12,Standard Class
235,US-2017-100930,2017-04-07,2017-04-12,Standard Class
236,US-2017-100930,2017-04-07,2017-04-12,Standard Class
237,CA-2017-160514,2017-11-12,2017-11-16,Standard Class
238,CA-2016-157749,2016-06-04,2016-06-09,Second Class
239,CA-2016-157749,2016-06-04,2016-06-09,Second Class
240,CA-2016-157749,2016-06-04,2016-06-09,Second Class
241,CA-2016-157749,2016-06-04,2016-06-09,Second Class
242,CA-2016-157749,2016-06-04,2016-06-09,Second Class
243,CA-2016-157749,2016-06-04,2016-06-09,Second Class
244,CA-2016-157749,2016-06-04,2016-06-09,Second Class
245,CA-2014-131926,2014-06-01,2014-06-06,Second Class
246,CA-2014-131926,2014-06-01,2014-06-06,Second Class
247,CA-2014-131926,2014-06-01,2014-06-06,Second Class
248,CA-2014-131926,2014-06-01,2014-06-06,Second Class
249,CA-2014-131926,2014-06-01,2014-06-06,Second Class
250,CA-2016-154739,2016-12-10,2016-12-15,Second Class
251,CA-2016-145625,2016-09-11,2016-09-17,Standard Class
252,CA-2016-145625,2016-09-11,2016-09-17,Standard Class
253,CA-2016-146941,2016-12-10,2016-12-13,First Class
254,CA-2016-146941,2016-12-10,2016-12-13,First Class
255,US-2015-159982,2015-11-28,2015-12-04,Standard Class
256,US-2015-159982,2015-11-28,2015-12-04,Standard Class
257,US-2015-159982,2015-11-28,2015-12-04,Standard Class
258,US-2015-159982,2015-11-28,2015-12-04,Standard Class
259,CA-2017-163139,2017-12-01,2017-12-03,Second Class
260,CA-2017-163139,2017-12-01,2017-12-03,Second Class
261,CA-2017-163139,2017-12-01,2017-12-03,Second Class
262,US-2017-155299,2017-06-08,2017-06-12,Standard Class
263,US-2014-106992,2014-09-19,2014-09-21,Second Class
264,US-2014-106992,2014-09-19,2014-09-21,Second Class
265,CA-2016-125318,2016-06-06,2016-06-13,Standard Class
266,CA-2015-155040,2015-11-10,2015-11-15,Standard Class
267,CA-2017-136826,2017-06-16,2017-06-20,Standard Class
268,CA-2016-111010,2016-01-22,2016-01-28,Standard Class
269,US-2017-145366,2017-12-09,2017-12-13,Standard Class
270,US-2017-145366,2017-12-09,2017-12-13,Standard Class
271,CA-2017-163979,2017-12-28,2018-01-02,Second Class
272,CA-2015-155334,2015-07-30,2015-07-31,First Class
273,CA-2015-155334,2015-07-30,2015-07-31,First Class
274,CA-2015-155334,2015-07-30,2015-07-31,First Class
275,CA-2017-118136,2017-09-16,2017-09-17,First Class
276,CA-2017-118136,2017-09-16,2017-09-17,First Class
277,CA-2017-132976,2017-10-13,2017-10-17,Standard Class
278,CA-2017-132976,2017-10-13,2017-10-17,Standard Class
279,CA-2017-132976,2017-10-13,2017-10-17,Standard Class
280,CA-2017-132976,2017-10-13,2017-10-17,Standard Class
281,US-2015-161991,2015-09-26,2015-09-28,Second Class
282,US-2015-161991,2015-09-26,2015-09-28,Second Class
283,CA-2015-130890,2015-11-02,2015-11-06,Standard Class
284,CA-2015-130883,2015-09-26,2015-10-02,Standard Class
285,CA-2015-130883,2015-09-26,2015-10-02,Standard Class
286,CA-2015-130883,2015-09-26,2015-10-02,Standard Class
287,CA-2016-112697,2016-12-18,2016-12-20,Second Class
288,CA-2016-112697,2016-12-18,2016-12-20,Second Class
289,CA-2016-112697,2016-12-18,2016-12-20,Second Class
290,CA-2016-110772,2016-11-20,2016-11-24,Second Class
291,CA-2016-110772,2016-11-20,2016-11-24,Second Class
292,CA-2016-110772,2016-11-20,2016-11-24,Second Class
293,CA-2016-110772,2016-11-20,2016-11-24,Second Class
294,CA-2014-111451,2014-12-26,2014-12-28,First Class
295,CA-2014-111451,2014-12-26,2014-12-28,First Class
296,CA-2014-111451,2014-12-26,2014-12-28,First Class
297,CA-2014-111451,2014-12-26,2014-12-28,First Class
298,CA-2014-111451,2014-12-26,2014-12-28,First Class
299,CA-2016-142545,2016-10-28,2016-11-03,Standard Class
300,CA-2016-142545,2016-10-28,2016-11-03,Standard Class
301,CA-2016-142545,2016-10-28,2016-11-03,Standard Class
302,CA-2016-142545,2016-10-28,2016-11-03,Standard Class
303,CA-2016-142545,2016-10-28,2016-11-03,Standard Class
304,US-2017-152380,2017-11-19,2017-11-23,Standard Class
305,CA-2015-144253,2015-05-04,2015-05-09,Second Class
306,CA-2014-130960,2014-12-30,2015-01-04,Standard Class
307,CA-2014-111003,2014-06-01,2014-06-06,Standard Class
308,CA-2014-111003,2014-06-01,2014-06-06,Standard Class
309,CA-2017-126774,2017-04-15,2017-04-17,First Class
310,CA-2016-142902,2016-09-12,2016-09-14,Second Class
311,CA-2016-142902,2016-09-12,2016-09-14,Second Class
312,CA-2016-142902,2016-09-12,2016-09-14,Second Class
313,CA-2016-142902,2016-09-12,2016-09-14,Second Class
314,CA-2014-120887,2014-09-27,2014-10-03,Standard Class
315,CA-2014-167850,2014-08-09,2014-08-16,Standard Class
316,CA-2014-167850,2014-08-09,2014-08-16,Standard Class
317,CA-2014-164259,2014-12-28,2014-12-30,First Class
318,CA-2014-164973,2014-11-04,2014-11-09,Standard Class
319,CA-2014-164973,2014-11-04,2014-11-09,Standard Class
320,CA-2014-164973,2014-11-04,2014-11-09,Standard Class
321,CA-2014-164973,2014-11-04,2014-11-09,Standard Class
322,CA-2014-164973,2014-11-04,2014-11-09,Standard Class
323,CA-2014-156601,2014-09-19,2014-09-24,Standard Class
324,CA-2016-162138,2016-04-23,2016-04-27,Standard Class
325,CA-2016-162138,2016-04-23,2016-04-27,Standard Class
326,CA-2017-153339,2017-11-03,2017-11-05,Second Class
327,US-2016-141544,2016-08-30,2016-09-01,First Class
328,US-2016-141544,2016-08-30,2016-09-01,First Class
329,US-2016-141544,2016-08-30,2016-09-01,First Class
330,US-2016-141544,2016-08-30,2016-09-01,First Class
331,US-2016-141544,2016-08-30,2016-09-01,First Class
332,US-2016-150147,2016-04-25,2016-04-29,Second Class
333,US-2016-150147,2016-04-25,2016-04-29,Second Class
334,US-2016-150147,2016-04-25,2016-04-29,Second Class
335,CA-2015-137946,2015-09-01,2015-09-04,Second Class
336,CA-2015-137946,2015-09-01,2015-09-04,Second Class
337,CA-2015-137946,2015-09-01,2015-09-04,Second Class
338,CA-2014-129924,2014-07-12,2014-07-17,Standard Class
339,CA-2014-129924,2014-07-12,2014-07-17,Standard Class
340,CA-2015-128167,2015-06-22,2015-06-26,Second Class
341,CA-2014-122336,2014-04-13,2014-04-17,Second Class
342,CA-2014-122336,2014-04-13,2014-04-17,Second Class
343,CA-2014-122336,2014-04-13,2014-04-17,Second Class
344,CA-2014-122336,2014-04-13,2014-04-17,Second Class
345,US-2015-120712,2015-12-20,2015-12-24,Standard Class
346,CA-2017-169901,2017-06-15,2017-06-19,Standard Class
347,CA-2017-134306,2017-07-08,2017-07-12,Standard Class
348,CA-2017-134306,2017-07-08,2017-07-12,Standard Class
349,CA-2017-134306,2017-07-08,2017-07-12,Standard Class
350,CA-2016-129714,2016-09-01,2016-09-03,First Class
351,CA-2016-129714,2016-09-01,2016-09-03,First Class
352,CA-2016-129714,2016-09-01,2016-09-03,First Class
353,CA-2016-129714,2016-09-01,2016-09-03,First Class
354,CA-2016-129714,2016-09-01,2016-09-03,First Class
355,CA-2016-138520,2016-04-08,2016-04-13,Standard Class
356,CA-2016-138520,2016-04-08,2016-04-13,Standard Class
357,CA-2016-138520,2016-04-08,2016-04-13,Standard Class
358,CA-2016-138520,2016-04-08,2016-04-13,Standard Class
359,CA-2016-130001,2016-04-23,2016-04-28,Standard Class
360,CA-2017-155698,2017-03-08,2017-03-11,First Class
361,CA-2017-155698,2017-03-08,2017-03-11,First Class
362,CA-2017-144904,2017-09-25,2017-10-01,Standard Class
363,CA-2017-144904,2017-09-25,2017-10-01,Standard Class
364,CA-2017-144904,2017-09-25,2017-10-01,Standard Class
365,CA-2017-144904,2017-09-25,2017-10-01,Standard Class
366,CA-2014-123344,2014-09-24,2014-09-29,Standard Class
367,CA-2016-155516,2016-10-21,2016-10-21,Same Day
368,CA-2016-155516,2016-10-21,2016-10-21,Same Day
369,CA-2016-155516,2016-10-21,2016-10-21,Same Day
370,CA-2016-155516,2016-10-21,2016-10-21,Same Day
371,CA-2017-104745,2017-05-29,2017-06-04,Standard Class
372,CA-2017-104745,2017-05-29,2017-06-04,Standard Class
373,US-2014-119137,2014-07-23,2014-07-27,Standard Class
374,US-2014-119137,2014-07-23,2014-07-27,Standard Class
375,US-2014-119137,2014-07-23,2014-07-27,Standard Class
376,US-2014-119137,2014-07-23,2014-07-27,Standard Class
377,US-2016-134656,2016-09-28,2016-10-01,First Class
378,US-2017-134481,2017-08-27,2017-09-01,Standard Class
379,CA-2015-130792,2015-04-28,2015-05-05,Standard Class
380,CA-2015-130792,2015-04-28,2015-05-05,Standard Class
381,CA-2015-130792,2015-04-28,2015-05-05,Standard Class
382,CA-2016-134775,2016-10-28,2016-10-29,First Class
383,CA-2016-134775,2016-10-28,2016-10-29,First Class
384,CA-2015-125395,2015-06-26,2015-06-29,Second Class
385,US-2015-168935,2015-11-27,2015-12-02,Standard Class
386,US-2015-168935,2015-11-27,2015-12-02,Standard Class
387,CA-2015-122756,2015-12-03,2015-12-07,Standard Class
388,CA-2015-122756,2015-12-03,2015-12-07,Standard Class
389,CA-2014-115973,2014-11-24,2014-11-26,First Class
390,CA-2017-101798,2017-12-11,2017-12-15,Standard Class
391,CA-2017-101798,2017-12-11,2017-12-15,Standard Class
392,US-2014-135972,2014-09-21,2014-09-23,Second Class
393,US-2014-135972,2014-09-21,2014-09-23,Second Class
394,US-2014-134971,2014-06-07,2014-06-10,Second Class
395,CA-2017-102946,2017-06-30,2017-07-05,Standard Class
396,CA-2017-165603,2017-10-17,2017-10-19,Second Class
397,CA-2017-165603,2017-10-17,2017-10-19,Second Class
398,CA-2015-122259,2015-10-31,2015-11-04,Standard Class
399,CA-2016-108987,2016-09-08,2016-09-10,Second Class
400,CA-2016-108987,2016-09-08,2016-09-10,Second Class
401,CA-2016-108987,2016-09-08,2016-09-10,Second Class
402,CA-2016-108987,2016-09-08,2016-09-10,Second Class
403,CA-2014-113166,2014-12-24,2014-12-26,First Class
404,CA-2014-155208,2014-04-16,2014-04-20,Standard Class
405,CA-2017-117933,2017-12-24,2017-12-29,Standard Class
406,CA-2017-117457,2017-12-08,2017-12-12,Standard Class
407,CA-2017-117457,2017-12-08,2017-12-12,Standard Class
408,CA-2017-117457,2017-12-08,2017-12-12,Standard Class
409,CA-2017-117457,2017-12-08,2017-12-12,Standard Class
410,CA-2017-117457,2017-12-08,2017-12-12,Standard Class
411,CA-2017-117457,2017-12-08,2017-12-12,Standard Class
412,CA-2017-117457,2017-12-08,2017-12-12,Standard Class
413,CA-2017-117457,2017-12-08,2017-12-12,Standard Class
414,CA-2017-117457,2017-12-08,2017-12-12,Standard Class
415,CA-2017-142636,2017-11-03,2017-11-07,Standard Class
416,CA-2017-142636,2017-11-03,2017-11-07,Standard Class
417,CA-2017-122105,2017-06-24,2017-06-28,Standard Class
418,CA-2016-148796,2016-04-14,2016-04-18,Standard Class
419,CA-2017-154816,2017-11-06,2017-11-10,Standard Class
420,CA-2017-110478,2017-03-04,2017-03-09,Standard Class
421,CA-2017-110478,2017-03-04,2017-03-09,Standard Class
422,CA-2014-142048,2014-06-22,2014-06-25,First Class
423,CA-2017-125388,2017-10-19,2017-10-23,Standard Class
424,CA-2017-125388,2017-10-19,2017-10-23,Standard Class
425,CA-2017-155705,2017-08-21,2017-08-23,Second Class
426,CA-2017-149160,2017-11-23,2017-11-26,Second Class
427,CA-2017-149160,2017-11-23,2017-11-26,Second Class
428,CA-2014-101476,2014-09-12,2014-09-13,First Class
429,CA-2017-152275,2017-10-01,2017-10-08,Standard Class
430,US-2016-123750,2016-04-15,2016-04-21,Standard Class
431,US-2016-123750,2016-04-15,2016-04-21,Standard Class
432,US-2016-123750,2016-04-15,2016-04-21,Standard Class
433,US-2016-123750,2016-04-15,2016-04-21,Standard Class
434,CA-2016-127369,2016-06-06,2016-06-07,First Class
435,US-2014-150574,2014-12-19,2014-12-25,Standard Class
436,US-2014-150574,2014-12-19,2014-12-25,Standard Class
437,CA-2016-147375,2016-06-12,2016-06-14,Second Class
438,CA-2016-147375,2016-06-12,2016-06-14,Second Class
439,CA-2017-130043,2017-09-15,2017-09-19,Standard Class
440,CA-2017-157252,2017-01-20,2017-01-23,Second Class
441,CA-2016-115756,2016-09-05,2016-09-07,Second Class
442,CA-2016-115756,2016-09-05,2016-09-07,Second Class
443,CA-2016-115756,2016-09-05,2016-09-07,Second Class
444,CA-2016-115756,2016-09-05,2016-09-07,Second Class
445,CA-2016-115756,2016-09-05,2016-09-07,Second Class
446,CA-2016-115756,2016-09-05,2016-09-07,Second Class
447,CA-2017-154214,2017-03-20,2017-03-25,Second Class
448,CA-2016-166674,2016-04-01,2016-04-03,Second Class
449,CA-2016-166674,2016-04-01,2016-04-03,Second Class
450,CA-2016-166674,2016-04-01,2016-04-03,Second Class
451,CA-2016-166674,2016-04-01,2016-04-03,Second Class
452,CA-2016-166674,2016-04-01,2016-04-03,Second Class
453,CA-2016-166674,2016-04-01,2016-04-03,Second Class
454,CA-2017-147277,2017-10-20,2017-10-24,Standard Class
455,CA-2017-147277,2017-10-20,2017-10-24,Standard Class
456,CA-2016-100153,2016-12-13,2016-12-17,Standard Class
457,US-2014-110674,2014-02-12,2014-02-18,Standard Class
458,US-2016-157945,2016-09-26,2016-10-01,Standard Class
459,US-2016-157945,2016-09-26,2016-10-01,Standard Class
460,CA-2015-109638,2015-12-15,2015-12-22,Standard Class
461,CA-2015-109638,2015-12-15,2015-12-22,Standard Class
